Statistic,Name,Team,Value,Year,League
Base on Balls,Kyle Schwarber,Philadelphia,105.0,2024,NL
Batting Average,Luis Arraez,Miami,0.314,2024,NL
Doubles,Ezequiel Tovar,Colorado,45.0,2024,NL
Hits,Luis Arraez,Miami,200.0,2024,NL
Home Runs,Shohei Ohtani,Los Angeles,54.0,2024,NL
On Base Percentage,Shohei Ohtani,Los Angeles,0.39,2024,NL
RBI,Shohei Ohtani,Los Angeles,130.0,2024,NL
Runs,Shohei Ohtani,Los Angeles,134.0,2024,NL
Slugging Average,Shohei Ohtani,Los Angeles,0.646,2024,NL
Stolen Bases,Elly De La Cruz,Cincinnati,67.0,2024,NL
Total Bases,Shohei Ohtani,Los Angeles,411.0,2024,NL
Triples,Corbin Carroll,Arizona,14.0,2024,NL
