Statistic,Name,Team,#,Top 25,Year,League
Statistic,Name,Team,#,Top 25,2023,NL
Complete Games,Sandy Alcantara,Miami Marlins,3,Top 25,2023,NL
ERA,Blake Snell,San Diego Padres,2.25,Top 25,2023,NL
Games,Miguel Castro,Arizona Diamondbacks,75,Top 25,2023,NL
Saves,David Bednar,Pittsburgh Pirates,39,Top 25,2023,NL
Shutouts,Sandy Alcantara,Miami Marlins,1,Top 25,2023,NL
Strikeouts,Spencer Strider,Atlanta Braves,281,Top 25,2023,NL
Winning Percentage,Spencer Strider,Atlanta Braves,.800,Top 25,2023,NL
Wins,Spencer Strider,Atlanta Braves,20,Top 25,2023,NL
Statistic,Name,Team,#,Top 25,2023,NL
